layer,best_dataflow,best_latency_cycles,best_avg_bw_req,best_traffic,best_makespan_cycles,lookup_partner_dataflow,lookup_system_bw,ShiDianNao_OS_latency_cycles,ShiDianNao_OS_avg_bw_req,ShiDianNao_OS_traffic,NVDLA_WS_latency_cycles,NVDLA_WS_avg_bw_req,NVDLA_WS_traffic,Eyeriss_RS_latency_cycles,Eyeriss_RS_avg_bw_req,Eyeriss_RS_traffic,ShiDianNao_OS_makespan_cycles,NVDLA_WS_makespan_cycles,Eyeriss_RS_makespan_cycles
CONV3_3_3,NVDLA_WS,401409.0,32.143,12902489.487,458753.0,Eyeriss_RS,100.0,1048576.0,112.0,117440512.0,401409.0,32.143,12902489.487,458753.0,56.0381,25707646.4893,1431481.5848929998,458753.0,514152.92978600005
CONV3_3_Residual,Eyeriss_RS,7169.0,56.0006,401468.3014,8029.366028,Eyeriss_RS,100.0,8192.0,112.0,917504.0,1569.0,256.327,402177.063,7169.0,56.0006,401468.3014,13189.723014000001,10500.420044,8029.366028
CONV3_4_1,NVDLA_WS,200705.0,32.1534,6453348.147,229376.99999999997,Eyeriss_RS,100.0,524288.0,112.0,58720256.0,200705.0,32.1534,6453348.147,229377.0,56.055,12857727.735,715779.83735,229376.99999999997,257154.55469999998
CONV3_4_2,NVDLA_WS,129795.0,69.9216,9075474.072,281434.97388800007,Eyeriss_RS,100.0,983040.0,53.7619,52850098.176,129795.0,69.9216,9075474.072,53248.0,314.859,16765612.032,1126075.256832,281434.97388800007,335312.24064000003
CONV3_4_3,NVDLA_WS,401409.0,32.143,12902489.487,458753.0,Eyeriss_RS,100.0,1048576.0,112.0,117440512.0,401409.0,32.143,12902489.487,458753.0,56.0381,25707646.4893,1431481.5848929998,458753.0,514152.92978600005
CONV3_4_Residual,Eyeriss_RS,7169.0,56.0006,401468.3014,8029.366028,Eyeriss_RS,100.0,8192.0,112.0,917504.0,1569.0,256.327,402177.063,7169.0,56.0006,401468.3014,13189.723014000001,10500.420044,8029.366028
CONV4_1_1,NVDLA_WS,200705.0,32.633,6549606.265000001,458753.0,Eyeriss_RS,100.0,1048577.0,28.6238,30014258.332599998,200705.0,32.633,6549606.265000001,458753.0,28.4175,13036613.3775,1048577.0,458753.0,458753.0
CONV4_1_2,NVDLA_WS,110595.0,79.6719,8811313.780499998,238855.07961599997,Eyeriss_RS,100.0,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999,1381640.258112,238855.07961599997,296486.83008
CONV4_1_3,NVDLA_WS,401409.0,32.6124,13090910.8716,917505.0,Eyeriss_RS,100.0,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125,1048577.0,917505.0,917505.0
CONV4_1_Residual,ShiDianNao_OS,4097.0,56.0,229432.0,7169.0,Eyeriss_RS,100.0,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014,7169.0,8623.65681,7169.0
