combo,layer,makespan,bw_util,core0_latency_cycles,core0_avg_bw_req,core0_traffic,core1_latency_cycles,core1_avg_bw_req,core1_traffic,total_traffic
OS_RS,Bottleneck5_2_3,56449.0,0.6525400000000001,56449.0,32.627,1841761.523,56449.0,32.627,1841761.523,3683523.046
OS_RS,Bottleneck6_1_1,112897.0,0.65144,112897.0,32.572,3677281.0840000003,112897.0,32.572,3677281.0840000003,7354562.1680000005
OS_RS,Bottleneck6_1_2,5132.16,1.0,198.0,1296.0,256608.0,198.0,1296.0,256608.0,513216.0
OS_RS,Bottleneck5_2_3,56449.0,0.6525400000000001,56449.0,32.627,1841761.523,56449.0,32.627,1841761.523,3683523.046
OS_RS,Bottleneck6_2_1,127008.99999999999,0.690804,127009.0,34.5402,4386916.2617999995,127009.0,34.5402,4386916.2617999995,8773832.523599999
OS_RS,Bottleneck6_2_2,1768.5504,1.0,101.0,875.52,88427.52,101.0,875.52,88427.52,176855.04
OS_RS,Bottleneck6_2_3,127008.99999999999,0.690804,127009.0,34.5402,4386916.2617999995,127009.0,34.5402,4386916.2617999995,8773832.523599999
OS_RS,Bottleneck6_2_Residual,579.91728,1.0,148.0,195.918,28995.864,148.0,195.918,28995.864,57991.728
OS_RS,Bottleneck6_3_1,127008.99999999999,0.690804,127009.0,34.5402,4386916.2617999995,127009.0,34.5402,4386916.2617999995,8773832.523599999
OS_RS,Bottleneck6_3_2,1768.5504,1.0,101.0,875.52,88427.52,101.0,875.52,88427.52,176855.04
OS_RS,Bottleneck6_3_3,35281.0,0.6908299999999999,35281.0,34.5415,1218658.6615,35281.0,34.5415,1218658.6615,2437317.323
OS_RS,Bottleneck7_1_1,70561.0,0.68791,70561.0,34.3955,2426980.8755,70561.0,34.3955,2426980.8755,4853961.751
OS_RS,Bottleneck7_1_2,3151.8720000000003,1.0,144.0,1094.4,157593.6,144.0,1094.4,157593.6,315187.2
OS_RS,Bottleneck7_1_3,117601.0,0.691386,117601.0,34.5693,4065384.2493,117601.0,34.5693,4065384.2493,8130768.4986
OS_RS,CONV2D_2,156801.0,0.68964,156801.0,34.482,5406812.0819999995,156801.0,34.482,5406812.0819999995,10813624.163999999
OS_RS,CONV2D_3,31684.36812,1.0,10001.0,158.406,1584218.406,10001.0,158.406,1584218.406,3168436.812
RS_WS,CONV1,200705.0,0.04000659999999989,200705.0,2.00033,401476.23264999996,200705.0,2.00033,401476.23264999996,802952.4652999999
RS_WS,Bottleneck1_1_1,200705.0,0.32008000000000014,200705.0,16.004,3212082.8200000003,200705.0,16.004,3212082.8200000003,6424165.640000001
RS_WS,Bottleneck1_1_2,23662.125986000003,1.0,12101.0,97.7693,1183106.2993,12101.0,97.7693,1183106.2993,2366212.5986
RS_WS,Bottleneck1_1_3,100353.0,0.320082,100353.0,16.0041,1606059.4473,100353.0,16.0041,1606059.4473,3212118.8946
RS_WS,Bottleneck1_1_Residual,12545.0,0.3200259999999999,12545.0,16.0013,200736.3085,12545.0,16.0013,200736.3085,401472.617
RS_WS,Bottleneck2_1_1,602113.0,0.16003880000000004,602113.0,8.00194,4818072.099219999,602113.0,8.00194,4818072.099219999,9636144.198439999
RS_WS,Bottleneck2_1_2,35205.34188,1.0,3027.0,581.522,1760267.094,3027.0,581.522,1760267.094,3520534.188
RS_WS,Bottleneck2_1_3,301057.0,0.6407179999999999,301057.0,32.0359,9644631.9463,301057.0,32.0359,9644631.9463,19289263.8926
RS_WS,Bottleneck2_2_1,301057.0,0.6407179999999999,301057.0,32.0359,9644631.9463,301057.0,32.0359,9644631.9463,19289263.8926
RS_WS,Bottleneck2_2_2,17447.480680000004,1.0,2918.0,298.963,872374.0340000001,2918.0,298.963,872374.0340000001,1744748.0680000002
