step,mode,resnet_layer,mobilenet_layer,squeeze_layer,chiplet_resnet,chiplet_mobilenet,chiplet_squeeze,start,makespan,end,bw_util,L_resnet,bw_resnet,L_mobilenet,bw_mobilenet,L_squeeze,bw_squeeze
33,pair,CONV4_1_Residual,Bottleneck4_4_1,,2,3,-1,8354330.763610999,56448.99999999999,8410779.763610998,0.3666421212421832,4097.0,56.0,56449.0,32.5998,,
34,pair,CONV4_2_1,Bottleneck4_4_2,,0,1,-1,8410779.763610998,402389.46237,8813169.225980999,0.3283373751684262,401409.0,32.643,159.0,684.0,,
35,pair,CONV4_2_2,Bottleneck4_4_3,,0,1,-1,8813169.225980999,112904.579763,8926073.805744,0.8347567152974427,110595.0,79.6719,18817.0,32.602,,
36,pair,CONV4_2_3,Bottleneck5_1_1,,0,1,-1,8926073.805744,401409.0,9327482.805744,0.3565855148016114,401409.0,32.6124,37633.0,32.4915,,
37,pair,CONV4_2_Residual,Bottleneck5_1_2,,0,1,-1,9327482.805744,4263.3721000000005,9331746.177844,0.9999999999999999,785.0,257.306,328.0,684.0,,
38,pair,CONV4_3_1,Bottleneck5_1_3,,0,1,-1,9331746.177844,401409.0,9733155.177844,0.509952168095384,401409.0,32.643,225793.0,32.6261,,
39,pair,CONV4_3_2,Bottleneck5_2_1,,0,1,-1,9733155.177844,239393.9731,9972549.150943998,0.6757922335430757,110595.0,79.6719,225793.0,32.6261,,
40,pair,CONV4_3_3,Bottleneck5_2_2,,0,1,-1,9972549.150943998,403431.488672,10375980.639615998,0.3300501632986227,401409.0,32.6124,328.0,684.0,,
41,pair,CONV4_3_Residual,Bottleneck5_2_3,,2,3,-1,10375980.639615998,56448.99999999999,10432429.639615998,0.36691412124218326,4097.0,56.0,56449.0,32.627,,
42,pair,CONV4_4_1,Bottleneck6_1_1,,0,1,-1,10432429.639615998,401409.0,10833838.639615998,0.41803933322371956,401409.0,32.643,112897.0,32.572,,
43,pair,CONV4_4_2,Bottleneck6_1_2,,0,1,-1,10833838.639615998,113120.83036199998,10946959.469977997,0.8016137922150659,110595.0,79.6719,198.0,1296.0,,
44,pair,CONV4_4_3,Bottleneck5_2_3,,0,1,-1,10946959.469977997,401409.0,11348368.469977997,0.372006417260201,401409.0,32.6124,56449.0,32.627,,
45,pair,CONV4_4_Residual,Bottleneck6_2_1,,2,3,-1,11348368.469977997,127008.99999999999,11475377.469977997,0.3634662316686219,4097.0,56.0,127009.0,34.5402,,
46,pair,CONV4_5_1,Bottleneck6_2_2,,0,1,-1,11475377.469977997,402225.24463,11877602.714607997,0.3279660260791125,401409.0,32.643,101.0,875.52,,
47,pair,CONV4_5_2,Bottleneck6_2_3,,0,1,-1,11877602.714607997,142726.87199499996,12020329.586602997,0.9247193508705466,110595.0,79.6719,127009.0,34.5402,,
48,pair,CONV4_5_3,Bottleneck6_2_Residual,,0,1,-1,12020329.586602997,401599.224992,12421928.811594997,0.3266915352205013,401409.0,32.6124,148.0,195.918,,
49,pair,CONV4_5_Residual,Bottleneck6_3_1,,2,3,-1,12421928.811594997,127008.99999999999,12548937.811594997,0.3634662316686219,4097.0,56.0,127009.0,34.5402,,
50,pair,CONV4_6_1,Bottleneck6_3_2,,0,1,-1,12548937.811594997,402225.24463,12951163.056224996,0.3279660260791125,401409.0,32.643,101.0,875.52,,
51,pair,CONV4_6_2,Bottleneck6_3_3,,0,1,-1,12951163.056224996,115609.62965399999,13066772.685878996,0.8675724048263111,110595.0,79.6719,35281.0,34.5415,,
52,pair,CONV4_6_3,Bottleneck7_1_1,,0,1,-1,13066772.685878996,401409.0,13468181.685878996,0.3865855460913932,401409.0,32.6124,70561.0,34.3955,,
53,pair,CONV4_6_Residual,Bottleneck7_1_2,,0,1,-1,13468181.685878996,3595.7881,13471777.473978996,1.0,785.0,257.306,144.0,1094.4,,
54,pair,CONV5_1_1,Bottleneck7_1_3,,0,1,-1,13471777.473978996,200705.0,13672482.473978996,0.5482722053660845,200705.0,34.5717,117601.0,34.5693,,
55,pair,CONV5_1_2,CONV2D_2,,3,2,-1,13672482.473978996,181355.61250599998,13853838.086484997,0.9909520889741104,163840.0,76.6886,156801.0,34.482,,
56,pair,CONV5_1_3,CONV2D_3,,0,1,-1,13853838.086484997,410703.609368,14264541.695852997,0.3760666317729082,401409.0,34.5308,10001.0,158.406,,
57,single,CONV5_1_Residual,,,0,-1,-1,14264541.695852997,1026.61032,14265568.306172997,1.0,393.0,261.224,,,,
58,single,CONV5_2_1,,,1,-1,-1,14265568.306172997,401409.0,14666977.306172997,0.34592,401409.0,34.592,,,,
59,single,CONV5_2_2,,,0,-1,-1,14666977.306172997,91678.20503999999,14758655.511212997,1.0,76803.0,119.368,,,,
60,single,CONV5_2_3,,,1,-1,-1,14758655.511212997,401409.0,15160064.511212997,0.34530799999999995,401409.0,34.5308,,,,
61,single,CONV5_2_Residual,,,0,-1,-1,15160064.511212997,1026.61032,15161091.121532997,1.0,393.0,261.224,,,,
62,single,CONV5_3_1,,,1,-1,-1,15161091.121532997,401409.0,15562500.121532997,0.34592,401409.0,34.592,,,,
63,single,CONV5_3_2,,,0,-1,-1,15562500.121532997,91678.20503999999,15654178.326572997,1.0,76803.0,119.368,,,,
64,single,CONV5_3_3,,,1,-1,-1,15654178.326572997,401409.0,16055587.326572997,0.34530799999999995,401409.0,34.5308,,,,
65,single,CONV5_3_Residual,,,0,-1,-1,16055587.326572997,1026.61032,16056613.936892997,1.0,393.0,261.224,,,,
66,single,FC1000,,,3,-1,-1,16056613.936892997,1504302.08,17560916.016893,1.0,256000.0,587.618,,,,
