layer,best_dataflow,best_latency_cycles,best_avg_bw_req,best_traffic,best_makespan_cycles,lookup_partner_dataflow,lookup_system_bw,ShiDianNao_OS_latency_cycles,ShiDianNao_OS_avg_bw_req,ShiDianNao_OS_traffic,NVDLA_WS_latency_cycles,NVDLA_WS_avg_bw_req,NVDLA_WS_traffic,Eyeriss_RS_latency_cycles,Eyeriss_RS_avg_bw_req,Eyeriss_RS_traffic,ShiDianNao_OS_makespan_cycles,NVDLA_WS_makespan_cycles,Eyeriss_RS_makespan_cycles
CONV3_3_3,NVDLA_WS,401409.0,32.143,12902489.487,772202.719526,Eyeriss_RS,50.0,1048576.0,112.0,117440512.0,401409.0,32.143,12902489.487,458753.0,56.0381,25707646.4893,2862963.1697859997,772202.719526,1028305.8595720001
CONV3_3_Residual,Eyeriss_RS,7169.0,56.0006,401468.3014,16058.732056,Eyeriss_RS,50.0,8192.0,112.0,917504.0,1569.0,256.327,402177.063,7169.0,56.0006,401468.3014,26379.446028000002,16072.907288,16058.732056
CONV3_4_1,NVDLA_WS,200705.0,32.1534,6453348.147,386221.51764,Eyeriss_RS,50.0,524288.0,112.0,58720256.0,200705.0,32.1534,6453348.147,229377.0,56.055,12857727.735,1431559.6747,386221.51764,514309.10939999996
CONV3_4_2,NVDLA_WS,129795.0,69.9216,9075474.072,516821.7220800001,Eyeriss_RS,50.0,983040.0,53.7619,52850098.176,129795.0,69.9216,9075474.072,53248.0,314.859,16765612.032,1392314.20416,516821.7220800001,670624.4812800001
CONV3_4_3,NVDLA_WS,401409.0,32.143,12902489.487,772202.719526,Eyeriss_RS,50.0,1048576.0,112.0,117440512.0,401409.0,32.143,12902489.487,458753.0,56.0381,25707646.4893,2862963.1697859997,772202.719526,1028305.8595720001
CONV3_4_Residual,Eyeriss_RS,7169.0,56.0006,401468.3014,16058.732056,Eyeriss_RS,50.0,8192.0,112.0,917504.0,1569.0,256.327,402177.063,7169.0,56.0006,401468.3014,26379.446028000002,16072.907288,16058.732056
CONV4_1_1,NVDLA_WS,200705.0,32.633,6549606.265000001,503110.81204999995,Eyeriss_RS,50.0,1048577.0,28.6238,30014258.332599998,200705.0,32.633,6549606.265000001,458753.0,28.4175,13036613.3775,1113181.349978,503110.81204999995,521464.5351
CONV4_1_2,NVDLA_WS,110595.0,79.6719,8811313.780499998,472713.10568999994,Eyeriss_RS,50.0,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999,1550863.5162240001,472713.10568999994,592973.66016
CONV4_1_3,NVDLA_WS,401409.0,32.6124,13090910.8716,1003706.779932,Eyeriss_RS,50.0,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125,1690502.8024999998,1003706.779932,1032193.125
CONV4_1_Residual,Eyeriss_RS,7169.0,28.0006,200736.3014,8029.452056,Eyeriss_RS,50.0,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014,9955.009164,10863.31362,8029.452056
CONV4_2_1,NVDLA_WS,401409.0,32.643,13103193.987,1004060.019852,Eyeriss_RS,50.0,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692,1690748.6938399998,1004060.019852,1032684.9076800001
CONV4_2_2,NVDLA_WS,110595.0,79.6719,8811313.780499998,472713.10568999994,Eyeriss_RS,50.0,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999,1550863.5162240001,472713.10568999994,592973.66016
CONV4_2_3,NVDLA_WS,401409.0,32.6124,13090910.8716,1003706.779932,Eyeriss_RS,50.0,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125,1690502.8024999998,1003706.779932,1032193.125
CONV4_2_Residual,Eyeriss_RS,7169.0,28.0006,200736.3014,8029.452056,Eyeriss_RS,50.0,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014,9955.009164,10863.31362,8029.452056
CONV4_3_1,NVDLA_WS,401409.0,32.643,13103193.987,1004060.019852,Eyeriss_RS,50.0,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692,1690748.6938399998,1004060.019852,1032684.9076800001
CONV4_3_2,NVDLA_WS,110595.0,79.6719,8811313.780499998,472713.10568999994,Eyeriss_RS,50.0,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999,1550863.5162240001,472713.10568999994,592973.66016
CONV4_3_3,NVDLA_WS,401409.0,32.6124,13090910.8716,1003706.779932,Eyeriss_RS,50.0,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125,1690502.8024999998,1003706.779932,1032193.125
CONV4_3_Residual,Eyeriss_RS,7169.0,28.0006,200736.3014,8029.452056,Eyeriss_RS,50.0,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014,9955.009164,10863.31362,8029.452056
CONV4_4_1,NVDLA_WS,401409.0,32.643,13103193.987,1004060.019852,Eyeriss_RS,50.0,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692,1690748.6938399998,1004060.019852,1032684.9076800001
CONV4_4_2,NVDLA_WS,110595.0,79.6719,8811313.780499998,472713.10568999994,Eyeriss_RS,50.0,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999,1550863.5162240001,472713.10568999994,592973.66016
CONV4_4_3,NVDLA_WS,401409.0,32.6124,13090910.8716,1003706.779932,Eyeriss_RS,50.0,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125,1690502.8024999998,1003706.779932,1032193.125
CONV4_4_Residual,Eyeriss_RS,7169.0,28.0006,200736.3014,8029.452056,Eyeriss_RS,50.0,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014,9955.009164,10863.31362,8029.452056
CONV4_5_1,NVDLA_WS,401409.0,32.643,13103193.987,1004060.019852,Eyeriss_RS,50.0,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692,1690748.6938399998,1004060.019852,1032684.9076800001
CONV4_5_2,NVDLA_WS,110595.0,79.6719,8811313.780499998,472713.10568999994,Eyeriss_RS,50.0,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999,1550863.5162240001,472713.10568999994,592973.66016
CONV4_5_3,NVDLA_WS,401409.0,32.6124,13090910.8716,1003706.779932,Eyeriss_RS,50.0,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125,1690502.8024999998,1003706.779932,1032193.125
CONV4_5_Residual,Eyeriss_RS,7169.0,28.0006,200736.3014,8029.452056,Eyeriss_RS,50.0,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014,9955.009164,10863.31362,8029.452056
CONV4_6_1,NVDLA_WS,401409.0,32.643,13103193.987,1004060.019852,Eyeriss_RS,50.0,1048577.0,56.0,58720312.0,401409.0,32.643,13103193.987,917505.0,28.1384,25817122.692,1690748.6938399998,1004060.019852,1032684.9076800001
CONV4_6_2,NVDLA_WS,110595.0,79.6719,8811313.780499998,472713.10568999994,Eyeriss_RS,50.0,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999,1550863.5162240001,472713.10568999994,592973.66016
CONV4_6_3,NVDLA_WS,401409.0,32.6124,13090910.8716,1003706.779932,Eyeriss_RS,50.0,1048577.0,56.0,58720312.0,401409.0,32.6124,13090910.8716,917505.0,28.125,25804828.125,1690502.8024999998,1003706.779932,1032193.125
CONV4_6_Residual,Eyeriss_RS,7169.0,28.0006,200736.3014,8029.452056,Eyeriss_RS,50.0,4097.0,56.0,229432.0,785.0,257.306,201985.21,7169.0,28.0006,200736.3014,9955.009164,10863.31362,8029.452056
CONV5_1_1,NVDLA_WS,200705.0,34.5717,6938713.0485,917504.9999999999,Eyeriss_RS,50.0,3670017.0,21.0547,77271106.9299,200705.0,34.5717,6938713.0485,917505.0,14.8499,13624857.499499999,3670017.0000000005,917504.9999999999,917504.9999999999
CONV5_1_2,NVDLA_WS,76803.0,119.368,9167820.503999999,434649.61456,Eyeriss_RS,50.0,2621441.0,5.09495,13356110.82295,76803.0,119.368,9167820.503999999,163840.0,76.6886,12564660.224,2725589.33664,434649.61456,502586.40896
CONV5_1_3,NVDLA_WS,401409.0,34.5308,13860973.8972,1835009.0,Eyeriss_RS,50.0,2097153.0,24.5,51380248.5,401409.0,34.5308,13860973.8972,1835009.0,14.2757,26196037.9813,2097153.0,1835009.0,1835009.0
CONV5_1_Residual,ShiDianNao_OS,4097.0,24.5,100376.5,7169.0,Eyeriss_RS,50.0,4097.0,24.5,100376.5,393.0,261.224,102661.03199999999,7169.0,14.0006,100370.3014,7169.0,8939.265356,7169.0
CONV5_2_1,Eyeriss_RS,1835009.0,14.2832,26209800.548800003,1835009.0,Eyeriss_RS,50.0,2097153.0,24.5,51380248.5,401409.0,34.592,13885540.127999999,1835009.0,14.2832,26209800.548800003,2097153.0,1835009.0000000002,1835009.0
CONV5_2_2,NVDLA_WS,76803.0,119.368,9167820.503999999,434649.61456,Eyeriss_RS,50.0,2621441.0,5.09495,13356110.82295,76803.0,119.368,9167820.503999999,163840.0,76.6886,12564660.224,2725589.33664,434649.61456,502586.40896
CONV5_2_3,NVDLA_WS,401409.0,34.5308,13860973.8972,1835009.0,Eyeriss_RS,50.0,2097153.0,24.5,51380248.5,401409.0,34.5308,13860973.8972,1835009.0,14.2757,26196037.9813,2097153.0,1835009.0,1835009.0
CONV5_2_Residual,ShiDianNao_OS,4097.0,24.5,100376.5,7169.0,Eyeriss_RS,50.0,4097.0,24.5,100376.5,393.0,261.224,102661.03199999999,7169.0,14.0006,100370.3014,7169.0,8939.265356,7169.0
CONV5_3_1,Eyeriss_RS,1835009.0,14.2832,26209800.548800003,1835009.0,Eyeriss_RS,50.0,2097153.0,24.5,51380248.5,401409.0,34.592,13885540.127999999,1835009.0,14.2832,26209800.548800003,2097153.0,1835009.0000000002,1835009.0
CONV5_3_2,NVDLA_WS,76803.0,119.368,9167820.503999999,434649.61456,Eyeriss_RS,50.0,2621441.0,5.09495,13356110.82295,76803.0,119.368,9167820.503999999,163840.0,76.6886,12564660.224,2725589.33664,434649.61456,502586.40896
CONV5_3_3,NVDLA_WS,401409.0,34.5308,13860973.8972,1835009.0,Eyeriss_RS,50.0,2097153.0,24.5,51380248.5,401409.0,34.5308,13860973.8972,1835009.0,14.2757,26196037.9813,2097153.0,1835009.0,1835009.0
CONV5_3_Residual,ShiDianNao_OS,4097.0,24.5,100376.5,7169.0,Eyeriss_RS,50.0,4097.0,24.5,100376.5,393.0,261.224,102661.03199999999,7169.0,14.0006,100370.3014,7169.0,8939.265356,7169.0
FC1000,Eyeriss_RS,256000.0,587.618,150430208.0,6017208.32,Eyeriss_RS,50.0,102400001.0,1.95952,200654849.95951998,127266.0,1198.65,152547390.9,256000.0,587.618,150430208.0,105162637.90239999,6059551.978,6017208.32
