layer,best_dataflow,best_latency_cycles,best_avg_bw_req,best_traffic,ShiDianNao_OS_latency_cycles,ShiDianNao_OS_avg_bw_req,ShiDianNao_OS_traffic,NVDLA_WS_latency_cycles,NVDLA_WS_avg_bw_req,NVDLA_WS_traffic,Eyeriss_RS_latency_cycles,Eyeriss_RS_avg_bw_req,Eyeriss_RS_traffic
CONV3_2_2,Eyeriss_RS,53248.0,314.859,16765612.032,983040.0,53.7619,52850098.176,129795.0,69.9216,9075474.072,53248.0,314.859,16765612.032
CONV3_2_3,NVDLA_WS,401409.0,32.143,12902489.487,1048576.0,112.0,117440512.0,401409.0,32.143,12902489.487,458753.0,56.0381,25707646.4893
CONV3_1_Residual,NVDLA_WS,1569.0,256.327,402177.063,8192.0,112.0,917504.0,1569.0,256.327,402177.063,7169.0,56.0006,401468.3014
CONV3_3_1,NVDLA_WS,200705.0,32.1534,6453348.147,524288.0,112.0,58720256.0,200705.0,32.1534,6453348.147,229377.0,56.055,12857727.735
CONV3_3_2,Eyeriss_RS,53248.0,314.859,16765612.032,983040.0,53.7619,52850098.176,129795.0,69.9216,9075474.072,53248.0,314.859,16765612.032
CONV3_3_3,NVDLA_WS,401409.0,32.143,12902489.487,1048576.0,112.0,117440512.0,401409.0,32.143,12902489.487,458753.0,56.0381,25707646.4893
CONV3_3_Residual,NVDLA_WS,1569.0,256.327,402177.063,8192.0,112.0,917504.0,1569.0,256.327,402177.063,7169.0,56.0006,401468.3014
CONV3_4_1,NVDLA_WS,200705.0,32.1534,6453348.147,524288.0,112.0,58720256.0,200705.0,32.1534,6453348.147,229377.0,56.055,12857727.735
CONV3_4_2,Eyeriss_RS,53248.0,314.859,16765612.032,983040.0,53.7619,52850098.176,129795.0,69.9216,9075474.072,53248.0,314.859,16765612.032
CONV3_4_3,NVDLA_WS,401409.0,32.143,12902489.487,1048576.0,112.0,117440512.0,401409.0,32.143,12902489.487,458753.0,56.0381,25707646.4893
CONV3_4_Residual,NVDLA_WS,1569.0,256.327,402177.063,8192.0,112.0,917504.0,1569.0,256.327,402177.063,7169.0,56.0006,401468.3014
CONV4_1_1,NVDLA_WS,200705.0,32.633,6549606.265000001,1048577.0,28.6238,30014258.332599998,200705.0,32.633,6549606.265000001,458753.0,28.4175,13036613.3775
CONV4_1_2,Eyeriss_RS,98304.0,150.801,14824341.503999999,1310721.0,21.3418,27973145.437799998,110595.0,79.6719,8811313.780499998,98304.0,150.801,14824341.503999999
