combo,layer,makespan,bw_util,core0_latency_cycles,core0_avg_bw_req,core0_traffic,core1_latency_cycles,core1_avg_bw_req,core1_traffic,total_traffic
OS_RS,CONV4_3_Residual,7169.0,0.6000394774724507,4097.0,56.0,229432.0,7169.0,28.0006,200736.3014,430168.3014
OS_RS,CONV4_4_1,1048577.0,0.8062110335435547,1048577.0,56.0,58720312.0,917505.0,28.1384,25817122.692,84537434.692
OS_RS,CONV4_4_2,1381640.258112,0.3097585401881848,1310721.0,21.3418,27973145.437799998,98304.0,150.801,14824341.503999999,42797486.9418
OS_RS,CONV4_4_3,1048577.0,0.8060937835275808,1048577.0,56.0,58720312.0,917505.0,28.125,25804828.125,84525140.125
OS_RS,CONV4_4_Residual,7169.0,0.6000394774724507,4097.0,56.0,229432.0,7169.0,28.0006,200736.3014,430168.3014
OS_RS,CONV4_5_1,1048577.0,0.8062110335435547,1048577.0,56.0,58720312.0,917505.0,28.1384,25817122.692,84537434.692
OS_RS,CONV4_5_2,1381640.258112,0.3097585401881848,1310721.0,21.3418,27973145.437799998,98304.0,150.801,14824341.503999999,42797486.9418
OS_RS,CONV4_5_3,1048577.0,0.8060937835275808,1048577.0,56.0,58720312.0,917505.0,28.125,25804828.125,84525140.125
OS_RS,CONV4_5_Residual,7169.0,0.6000394774724507,4097.0,56.0,229432.0,7169.0,28.0006,200736.3014,430168.3014
OS_RS,CONV4_6_1,1048577.0,0.8062110335435547,1048577.0,56.0,58720312.0,917505.0,28.1384,25817122.692,84537434.692
OS_RS,CONV4_6_2,1381640.258112,0.3097585401881848,1310721.0,21.3418,27973145.437799998,98304.0,150.801,14824341.503999999,42797486.9418
OS_RS,CONV4_6_3,1048577.0,0.8060937835275808,1048577.0,56.0,58720312.0,917505.0,28.125,25804828.125,84525140.125
OS_RS,CONV4_6_Residual,7169.0,0.6000394774724507,4097.0,56.0,229432.0,7169.0,28.0006,200736.3014,430168.3014
OS_RS,CONV5_1_1,3670017.0000000005,0.2476717803470665,3670017.0,21.0547,77271106.9299,917505.0,14.8499,13624857.499499999,90895964.4294
OS_RS,CONV5_1_2,2621441.0,0.09887985671601984,2621441.0,5.09495,13356110.82295,163840.0,76.6886,12564660.224,25920771.046949998
OS_RS,CONV5_1_3,2097153.0,0.36991238350897615,2097153.0,24.5,51380248.5,1835009.0,14.2757,26196037.9813,77576286.4813
OS_RS,CONV5_1_Residual,7169.0,0.2800206463941973,4097.0,24.5,100376.5,7169.0,14.0006,100370.3014,200746.8014
OS_RS,CONV5_2_1,2097153.0,0.36997800851344664,2097153.0,24.5,51380248.5,1835009.0,14.2832,26209800.548800003,77590049.0488
OS_RS,CONV5_2_2,2621441.0,0.09887985671601984,2621441.0,5.09495,13356110.82295,163840.0,76.6886,12564660.224,25920771.046949998
OS_RS,CONV5_2_3,2097153.0,0.36991238350897615,2097153.0,24.5,51380248.5,1835009.0,14.2757,26196037.9813,77576286.4813
OS_RS,CONV5_2_Residual,7169.0,0.2800206463941973,4097.0,24.5,100376.5,7169.0,14.0006,100370.3014,200746.8014
OS_RS,CONV5_3_1,2097153.0,0.36997800851344664,2097153.0,24.5,51380248.5,1835009.0,14.2832,26209800.548800003,77590049.0488
OS_RS,CONV5_3_2,2621441.0,0.09887985671601984,2621441.0,5.09495,13356110.82295,163840.0,76.6886,12564660.224,25920771.046949998
OS_RS,CONV5_3_3,2097153.0,0.36991238350897615,2097153.0,24.5,51380248.5,1835009.0,14.2757,26196037.9813,77576286.4813
OS_RS,CONV5_3_Residual,7169.0,0.2800206463941973,4097.0,24.5,100376.5,7169.0,14.0006,100370.3014,200746.8014
OS_RS,FC1000,103653319.45119998,0.03387108679378181,102400001.0,1.95952,200654849.95951998,256000.0,587.618,150430208.0,351085057.95952
