layer,best_dataflow,best_latency_cycles,best_avg_bw_req,best_traffic,best_makespan_cycles,lookup_partner_dataflow,lookup_system_bw,ShiDianNao_OS_latency_cycles,ShiDianNao_OS_avg_bw_req,ShiDianNao_OS_traffic,NVDLA_WS_latency_cycles,NVDLA_WS_avg_bw_req,NVDLA_WS_traffic,Eyeriss_RS_latency_cycles,Eyeriss_RS_avg_bw_req,Eyeriss_RS_traffic,ShiDianNao_OS_makespan_cycles,NVDLA_WS_makespan_cycles,Eyeriss_RS_makespan_cycles
CONV1,NVDLA_WS,1330673.0,6.14303,8174364.159190001,1330673.0,NVDLA_WS,100.0,1268736.0,30.7806,39052455.3216,1330673.0,6.14303,8174364.159190001,4792525.0,3.32483,15934330.89575,1330673.0000000002,1330673.0,4792525.0
CONV2_1_1,NVDLA_WS,100353.0,32.0312,3214427.0135999997,100353.0,NVDLA_WS,100.0,286720.0,112.035,32122675.2,100353.0,32.0312,3214427.0135999997,57345.0,111.973,6421091.685,353371.022136,100353.0,125587.20849
CONV2_1_2,NVDLA_WS,139971.0,66.572,9318149.412,186362.98824,NVDLA_WS,100.0,1089536.0,62.7408,68358360.2688,139971.0,66.572,9318149.412,27649.0,648.902,17941491.398000002,1130565.419288,186362.98824,310143.40626
CONV2_1_3,NVDLA_WS,401409.0,32.0308,12857451.3972,401409.0,NVDLA_WS,100.0,1146880.0,112.035,128490700.8,401409.0,32.0308,12857451.3972,229377.0,111.972,25683801.444,1413481.5219720001,401409.0,502341.30255599995
CONV2_1_Residual,Eyeriss_RS,7169.0,112.001,802935.169,16062.644029999998,NVDLA_WS,100.0,17920.0,112.035,2007667.2,3137.0,256.082,803329.2339999999,7169.0,112.001,802935.169,28109.96434,16066.584679999998,16062.644029999998
CONV2_2_1,NVDLA_WS,401409.0,32.0384,12860502.105600001,401409.0,NVDLA_WS,100.0,1146880.0,112.036,128491847.68,401409.0,32.0384,12860502.105600001,229377.0,112.02,25694811.54,1413523.497856,401409.0,502468.836168
CONV2_2_2,NVDLA_WS,139971.0,66.572,9318149.412,186362.98824,NVDLA_WS,100.0,1089536.0,62.7408,68358360.2688,139971.0,66.572,9318149.412,27649.0,648.902,17941491.398000002,1130565.419288,186362.98824,310143.40626
CONV2_2_3,NVDLA_WS,401409.0,32.0308,12857451.3972,401409.0,NVDLA_WS,100.0,1146880.0,112.035,128490700.8,401409.0,32.0308,12857451.3972,229377.0,111.972,25683801.444,1413481.5219720001,401409.0,502341.30255599995
CONV2_2_Residual,Eyeriss_RS,7169.0,112.001,802935.169,16062.644029999998,NVDLA_WS,100.0,17920.0,112.035,2007667.2,3137.0,256.082,803329.2339999999,7169.0,112.001,802935.169,28109.96434,16066.584679999998,16062.644029999998
CONV2_3_1,NVDLA_WS,401409.0,32.0384,12860502.105600001,401409.0,NVDLA_WS,100.0,1146880.0,112.036,128491847.68,401409.0,32.0384,12860502.105600001,229377.0,112.02,25694811.54,1413523.497856,401409.0,502468.836168
CONV2_3_2,NVDLA_WS,139971.0,66.572,9318149.412,186362.98824,NVDLA_WS,100.0,1089536.0,62.7408,68358360.2688,139971.0,66.572,9318149.412,27649.0,648.902,17941491.398000002,1130565.419288,186362.98824,310143.40626
CONV2_3_3,NVDLA_WS,401409.0,32.0308,12857451.3972,401409.0,NVDLA_WS,100.0,1146880.0,112.035,128490700.8,401409.0,32.0308,12857451.3972,229377.0,111.972,25683801.444,1413481.5219720001,401409.0,502341.30255599995
