Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV3_1_1,256,458753,225689,55.9999,248129,4.19047e+08,3374.84,58,56.3557,58,1,56,450,6,1,1,802816,32768,1.1383e+11,25690112,312.909,5.2992,1.5525,3055.08,25690112, 25806448, 25806448, 802816, 0.995492, 25690112, 32768, 32768, 32768, 784, 25690112, 25690112, 401408, 25690112, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 116, 1
Resnet50,CONV3_1_2,256,983040,248860,101.4,407458,4.19049e+08,3422.57,78,53.7619,78,1,78,1994,54,1,1,100352,147456,4.00547e+11,99680256,312.909,47.6928,6.8793,3055.08,99680256, 35060748, 35060748, 100352, 2.84307, 99680256, 147456, 147456, 147456, 676, 99680256, 99680256, 86528, 11075584, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 208, 0.75
Resnet50,CONV3_1_3,256,1048576,637207,49,76898,4.19047e+08,3376.39,112,112,112,1,112,898,6,1,1,100352,65536,8.06334e+10,51380224,312.909,5.2992,3.0981,3055.08,51380224, 58085600, 58085600, 100352, 0.88456, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 401408, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 0.5
Resnet50,CONV3_1_Residual,256,8192,107270,49,456793,4.19047e+08,3376.39,112,112,112,1,112,898,6,1,1,401408,512,3.74205e+09,401408,312.909,5.2992,3.0981,3055.08,401408, 454664, 454664, 401408, 0.882867, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 0.5
Resnet50,CONV3_2_1,256,524288,236328,49,207339,4.19047e+08,3376.39,112,112,112,1,112,898,6,1,1,200704,32768,1.08705e+11,25690112,312.909,5.2992,3.0981,3055.08,25690112, 29070560, 29070560, 200704, 0.883716, 25690112, 32768, 32768, 32768, 784, 25690112, 25690112, 100352, 25690112, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 0.5
Resnet50,CONV3_2_2,256,983040,250121,101.4,405403,4.19049e+08,3422.57,78,53.7619,78,1,78,1994,54,1,1,100352,147456,3.98528e+11,99680256,312.909,47.6928,6.8793,3055.08,99680256, 35060748, 35060748, 100352, 2.84307, 99680256, 147456, 147456, 147456, 676, 99680256, 99680256, 86528, 11075584, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 208, 0.75
Resnet50,CONV3_2_3,256,1048576,637207,49,76898,4.19047e+08,3376.39,112,112,112,1,112,898,6,1,1,100352,65536,8.06334e+10,51380224,312.909,5.2992,3.0981,3055.08,51380224, 58085600, 58085600, 100352, 0.88456, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 401408, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 0.5
Resnet50,CONV3_1_Residual,256,8192,107270,49,456793,4.19047e+08,3376.39,112,112,112,1,112,898,6,1,1,401408,512,3.74205e+09,401408,312.909,5.2992,3.0981,3055.08,401408, 454664, 454664, 401408, 0.882867, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 0.5
Resnet50,CONV3_3_1,256,524288,236328,49,207339,4.19047e+08,3376.39,112,112,112,1,112,898,6,1,1,200704,32768,1.08705e+11,25690112,312.909,5.2992,3.0981,3055.08,25690112, 29070560, 29070560, 200704, 0.883716, 25690112, 32768, 32768, 32768, 784, 25690112, 25690112, 100352, 25690112, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 0.5
Resnet50,CONV3_3_2,256,983040,250121,101.4,405403,4.19049e+08,3422.57,78,53.7619,78,1,78,1994,54,1,1,100352,147456,3.98528e+11,99680256,312.909,47.6928,6.8793,3055.08,99680256, 35060748, 35060748, 100352, 2.84307, 99680256, 147456, 147456, 147456, 676, 99680256, 99680256, 86528, 11075584, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 208, 0.75
Resnet50,CONV3_3_3,256,1048576,637207,49,76898,4.19047e+08,3376.39,112,112,112,1,112,898,6,1,1,100352,65536,8.06334e+10,51380224,312.909,5.2992,3.0981,3055.08,51380224, 58085600, 58085600, 100352, 0.88456, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 401408, 51380224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 0.5
Resnet50,CONV3_3_Residual,256,8192,107270,49,456793,4.19047e+08,3376.39,112,112,112,1,112,898,6,1,1,401408,512,3.74205e+09,401408,312.909,5.2992,3.0981,3055.08,401408, 454664, 454664, 401408, 0.882867, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 0.5
Resnet50,CONV3_4_1,256,524288,236328,49,207339,4.19047e+08,3376.39,112,112,112,1,112,898,6,1,1,200704,32768,1.08705e+11,25690112,312.909,5.2992,3.0981,3055.08,25690112, 29070560, 29070560, 200704, 0.883716, 25690112, 32768, 32768, 32768, 784, 25690112, 25690112, 100352, 25690112, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 224, 0.5
Resnet50,CONV3_4_2,256,983040,250121,101.4,405403,4.19049e+08,3422.57,78,53.7619,78,1,78,1994,54,1,1,100352,147456,3.98528e+11,99680256,312.909,47.6928,6.8793,3055.08,99680256, 35060748, 35060748, 100352, 2.84307, 99680256, 147456, 147456, 147456, 676, 99680256, 99680256, 86528, 11075584, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 208, 0.75
