Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
SqueezeNet1_0,Conv2d-11,256,75265,6.48298e+07,95.9987,1480.78,4.39674e+08,6004.41,1024,32.0366,160,9,648,6,1,1,301056,2304,1.11451e+08,7225344,2816.18,56.5248,4,3127.71,7225344, 2408128, 2408128, 301056, 3.0004, 7225344, 3072, 3072, 2304, 2352, 7225344, 7225344, 75264, 150528, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
SqueezeNet1_0,Conv2d-12,256,225793,1.02104e+08,47.9998,470.108,4.39674e+08,6004.41,1024,12.0116,60,9,248,6,1,1,75264,3456,1.06147e+08,10838016,2816.18,56.5248,4,3127.71,10838016, 2708664, 2708664, 75264, 4.00124, 10838016, 3456, 3456, 3456, 3136, 10838016, 10838016, 451584, 451584, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 96, 4
SqueezeNet1_0,Conv2d-13,256,758,2.69029e+07,1246.42,46330.2,4.39674e+08,6004.41,1024,881.778,2592,9,5470,54,1,1,451584,1296,3.51183e+07,944784,2816.18,56.5248,4,3127.71,944784, 641520, 641520, 451584, 1.47273, 944784, 1296, 1296, 1296, 729, 944784, 944784, 419904, 104247, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 144, 1.5
SqueezeNet1_0,Conv2d-14,256,169345,1.06256e+08,95.9994,903.477,4.39674e+08,6004.41,1024,32.15,160,9,648,6,1,1,112896,20736,1.52999e+08,16257024,2816.18,56.5248,4,3127.71,16257024, 5416768, 5416768, 112896, 3.00124, 16257024, 27648, 27648, 20736, 588, 16257024, 16257024, 112896, 338688, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
SqueezeNet1_0,Conv2d-15,256,169345,2.06568e+08,95.9994,464.736,4.39674e+08,6004.41,1024,32.15,160,9,648,6,1,1,112896,20736,7.87006e+07,16257024,2816.18,56.5248,4,3127.71,16257024, 5416768, 5416768, 112896, 3.00124, 16257024, 27648, 27648, 20736, 588, 16257024, 16257024, 112896, 338688, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
SqueezeNet1_0,Conv2d-16,256,704,1.46619e+07,1244.45,84876.9,4.39674e+08,6004.41,1024,467.148,2592,9,5470,54,1,1,112896,1296,5.97533e+07,876096,2816.18,56.5248,4,3127.71,876096, 314496, 314496, 112896, 2.78571, 876096, 1296, 1296, 1296, 676, 876096, 876096, 97344, 96668, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 144, 3
SqueezeNet1_0,Conv2d-17,256,169345,1.05342e+08,95.9994,911.315,4.39674e+08,6004.41,1024,32.15,160,9,648,6,1,1,112896,20736,1.54327e+08,16257024,2816.18,56.5248,4,3127.71,16257024, 5416768, 5416768, 112896, 3.00124, 16257024, 27648, 27648, 20736, 588, 16257024, 16257024, 112896, 338688, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
SqueezeNet1_0,Conv2d-18,256,785,6.54706e+06,143.817,21966.6,4.39674e+08,6004.41,1024,144.184,288,9,862,6,1,1,112896,144,1.72438e+07,112896,2816.18,56.5248,4,3127.71,112896, 112896, 112896, 112896, 1, 112896, 144, 144, 144, 784, 112896, 112896, 112896, 112112, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 144, 1
SqueezeNet1_0,Conv2d-19,256,169345,1.00397e+08,95.9994,956.195,4.39674e+08,6004.41,1024,32.15,160,9,648,6,1,1,112896,20736,1.61927e+08,16257024,2816.18,56.5248,4,3127.71,16257024, 5416768, 5416768, 112896, 3.00124, 16257024, 27648, 27648, 20736, 588, 16257024, 16257024, 112896, 338688, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
SqueezeNet1_0,Conv2d-20,256,704,1.46619e+07,1244.45,84876.9,4.39674e+08,6004.41,1024,467.148,2592,9,5470,54,1,1,112896,1296,5.97533e+07,876096,2816.18,56.5248,4,3127.71,876096, 314496, 314496, 112896, 2.78571, 876096, 1296, 1296, 1296, 676, 876096, 876096, 97344, 96668, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 144, 3
SqueezeNet1_0,Conv2d-21,256,37633,2.93998e+07,95.9974,3265.24,4.39674e+08,6004.41,1024,32.1514,160,9,648,6,1,1,112896,4608,1.22881e+08,3612672,2816.18,56.5248,4,3127.71,3612672, 1203776, 1203776, 112896, 3.00112, 3612672, 6144, 6144, 4608, 588, 3612672, 3612672, 25088, 75264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
SqueezeNet1_0,Conv2d-22,256,75265,4.71792e+07,63.9991,1356.51,4.39674e+08,6004.41,1024,16.0616,80,9,328,6,1,1,25088,6144,1.02098e+08,4816896,2816.18,56.5248,4,3127.71,4816896, 1202720, 1202720, 25088, 4.005, 4816896, 6144, 6144, 6144, 784, 4816896, 4816896, 150528, 150528, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 128, 4
SqueezeNet1_0,Conv2d-23,256,341,8.61861e+06,856.399,99366.2,4.39674e+08,6004.41,1024,1206.53,3456,9,7294,54,1,1,150528,1728,3.38839e+07,292032,2816.18,56.5248,4,3127.71,292032, 202176, 202176, 150528, 1.44444, 292032, 1728, 1728, 1728, 169, 292032, 292032, 129792, 32279, 1, 2, 4, 2, 1, 1, 1, 1, 1, 1, 192, 1.5
SqueezeNet1_0,Conv2d-24,256,56449,3.61947e+07,127.998,3536.37,4.39674e+08,6004.41,1024,32.5998,160,9,648,6,1,1,37632,36864,1.99625e+08,7225344,2816.18,56.5248,4,3127.71,7225344, 1803328, 1803328, 37632, 4.00667, 7225344, 36864, 36864, 36864, 196, 7225344, 7225344, 37632, 112896, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
SqueezeNet1_0,Conv2d-25,256,56449,8.07988e+07,127.998,1584.15,4.39674e+08,6004.41,1024,32.5998,160,9,648,6,1,1,37632,36864,8.94239e+07,7225344,2816.18,56.5248,4,3127.71,7225344, 1803328, 1803328, 37632, 4.00667, 7225344, 36864, 36864, 36864, 196, 7225344, 7225344, 37632, 112896, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
SqueezeNet1_0,Conv2d-26,256,159,4.44314e+06,1564.98,352224,4.39674e+08,6004.41,1024,684,3456,9,7294,54,1,1,37632,1728,5.60037e+07,248832,2816.18,56.5248,4,3127.71,248832, 96768, 96768, 37632, 2.57143, 248832, 1728, 1728, 1728, 144, 248832, 248832, 27648, 27504, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 192, 3
